,text,tags
10,Much like viral pathogens  infection by certain bacterial pathogens can be prevented via vaccines  Vaccines against bacterial pathogens include the anthrax vaccine and the pneumococcal vaccine  Many other bacterial pathogens lack vaccines as a preventive measure  but infection by these bacteria can often be treated or prevented with antibiotics  Common antibiotics include amoxicillin  ciprofloxacin  and doxycycline  Each antibiotic has different bacteria that it is effective against and has different mechanisms to kill that bacteria  For example  doxycycline inhibits the synthesis of new proteins in both gram negative and gram positive bacteria which leads to the death of the affected bacteria,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,I-med,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,B-med,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
11,Some antidepressants are used as a treatment for social anxiety disorder  but their efficacy is not entirely convincing  as only a small proportion of antidepressants showed some efficacy for this condition  Paroxetine was the first drug to be FDA approved for this disorder  Its efficacy is considered beneficial  although not everyone responds favorably to the drug  Sertraline and fluvoxamine extended release were later approved for it as well  while escitalopram is used off label with acceptable efficacy  However  there isnt enough evidence to support citalopram for treating social phobia  and fluoxetine was no better than placebo in clinical trials  SSRIs are used as a first line treatment for social anxiety  but they dont work for everyone  One alternative would be venlafaxine  which is a SNRI  It showed benefits for social phobia in five clinical trials against placebo  while the other SNRIs are not considered particularly useful for this disorder as many of them didnt undergo testing for it  As of now  it is unclear if duloxetine and desvenlafaxine can provide benefits for social anxiety sufferers  However  another class of antidepressants called MAOIs are considered effective for social anxiety  but they come with many unwanted side effects and are rarely used  Phenelzine was shown to be a good treatment option  but its use is limited by dietary restrictions  Moclobemide is a RIMA and showed mixed results but still got approval in some European countries for social anxiety disorder  TCA antidepressants  such as clomipramine and imipramine  are not considered effective for this anxiety disorder in particular  This leaves out SSRIs such as paroxetine  sertraline and fluvoxamine CR as acceptable and tolerated treatment options for this disorder,"O,O,O,O,O,O,O,O,B-diag,B-diag,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,B-med,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-diag,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,B-med,O,O,O,O,O,O,O,O,O,O,O,O"
12,However  existing data suggest that patients taking bedaquiline in addition to standard TB therapy are five times more likely to die than those without the new drug  which has resulted in medical journal articles raising health policy questions about why the FDA approved the drug and whether financial ties to the company making bedaquiline influenced physicians support for its use,"O,O,O,O,O,O,O,B-med,O,O,O,O,B-med,I-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
13,Latent TB is treated with either isoniazid or rifampin alone  or a combination of isoniazid with either rifampicin or rifapentine   The treatment takes three to nine months depending on the medications used  People with latent infections are treated to prevent them from progressing to active TB disease later in life,"O,O,O,O,O,O,B-med,O,B-med,O,O,O,O,O,O,O,O,B-med,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
14,If a tuberculosis infection does become active  it most commonly involves the lungs in about     of cases  Symptoms may include chest pain and a prolonged cough producing sputum  About     of people may not have any symptoms i e  they remain  asymptomatic   Occasionally  people may cough up blood in small amounts  and in very rare cases  the infection may erode into the pulmonary artery or a Rasmussens aneurysm  resulting in massive bleeding  Tuberculosis may become a chronic illness and cause extensive scarring in the upper lobes of the lungs  The upper lung lobes are more frequently affected by tuberculosis than the lower ones  The reason for this difference is not clear  It may be due to either better air flow  or poor lymph drainage within the upper lungs,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,I-diag,O,O,B-diag,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-diag,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,I-diag,O,O,O,O,O,O,O,O,B-diag,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
15,In        of active cases  the infection spreads outside the lungs  causing other kinds of TB  These are collectively denoted as  extrapulmonary tuberculosis   Extrapulmonary TB occurs more commonly in people with a weakened immune system and young children  In those with HIV  this occurs in more than     of cases  Notable extrapulmonary infection sites include the pleura in tuberculous pleurisy  the central nervous system in tuberculous meningitis  the lymphatic system in scrofula of the neck  the genitourinary system in urogenital tuberculosis  and the bones and joints in Pott disease of the spine  among others  A potentially more serious  widespread form of TB is called  disseminated tuberculosis   it is also known as miliary tuberculosis  Miliary TB currently makes up about     of extrapulmonary cases,"O,O,O,O,O,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,O,O,O"
16,Although viruses cause disruption of healthy homeostasis  resulting in disease  they may exist relatively harmlessly within an organism  An example would include the ability of the herpes simplex virus  which causes cold sores  to remain in a dormant state within the human body  This is called latency and is a characteristic of the herpes viruses  including Epstein Barr virus  which causes glandular fever  and varicella zoster virus  which causes chickenpox and shingles  Most people have been infected with at least one of these types of herpes virus  These latent viruses might sometimes be beneficial  as the presence of the virus can increase immunity against bacterial pathogens  such as Yersinia pestis,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
17,Examples of common human diseases caused by viruses include the common cold  influenza  chickenpox  and cold sores  Many serious diseases such as rabies  Ebola virus disease  AIDS HIV  avian influenza  and SARS are caused by viruses  The relative ability of viruses to cause disease is described in terms of virulence  Other diseases are under investigation to discover if they have a virus as the causative agent  such as the possible connection between human herpesvirus   HHV  and neurological diseases such as multiple sclerosis and chronic fatigue syndrome  There is controversy over whether the bornavirus  previously thought to cause neurological diseases in horses  could be responsible for psychiatric illnesses in humans,"O,O,O,O,O,O,O,O,O,O,O,O,I-diag,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,I-diag,O,O"
18,All medical applications known so far involve not pure adamantane  but its derivatives  The first adamantane derivative used as a drug was amantadine   first      as an antiviral drug against various strains of flu and then to treat Parkinsons disease  Other drugs among adamantane derivatives include adapalene  adapromine  bromantane  carmantadine  chlodantane  dopamantine  memantine  rimantadine  saxagliptin  tromantadine  and vildagliptin  Polymers of adamantane have been patented as antiviral agents against HIV,"O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,I-diag,O,O,O,O,O,O,O,O,O,B-med,O,B-med,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
19,Buprenorphine has been shown experimentally           to be effective against severe  refractory depression,"B-med,O,O,O,O,O,O,O,O,O,B-diag,I-diag"
20,Gabapentin  approved for treatment of seizures and postherpetic neuralgia in adults  has side effects which are useful in treating bipolar disorder   essential tremor  hot flashes  migraine prophylaxis  neuropathic pain syndromes  phantom limb syndrome  and restless leg syndrome,"B-med,O,O,O,O,B-diag,O,B-diag,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,I-diag,B-diag,I-diag,I-diag,O,O,I-diag,O,B-diag,I-diag,O"
21,Bupropion Wellbutrin  an anti depressant  is also used as a smoking cessation aid  this indication was later approved  and the name of the smoking cessation product is Zyban  In Ontario  Canada  smoking cessation drugs are not covered by provincial drug plans  elsewhere  Zyban is priced higher than Wellbutrin  despite being the same drug  Therefore  some physicians prescribe Wellbutrin for both indications,"B-med,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-med,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
22,Carbamazepine is an approved treatment for bipolar disorder and epileptic seizures  but it has side effects useful in treating attention deficit hyperactivity disorder ADHD  schizophrenia  phantom limb syndrome  paroxysmal extreme pain disorder  neuromyotonia  and post traumatic stress disorder,"B-med,O,O,O,O,O,B-diag,I-diag,O,B-diag,I-diag,O,O,O,O,O,O,O,O,O,O,B-diag,O,O,B-diag,B-diag,I-diag,I-diag,O,O,O,O,B-diag,O,B-diag,I-diag,I-diag,O"
23,The antiviral drugs amantadine and rimantadine inhibit a viral ion channel M  protein  thus inhibiting replication of the influenza A virus  These drugs are sometimes effective against influenza A if given early in the infection but are ineffective against influenza B viruses  which lack the M  drug target  Measured resistance to amantadine and rimantadine in American isolates of H N  has increased to     in       This high level of resistance may be due to the easy availability of amantadines as part of over the counter cold remedies in countries such as China and Russia  and their use to prevent outbreaks of influenza in farmed poultry  The CDC recommended against using M  inhibitors during the         influenza season due to high levels of drug resistance,"O,O,O,B-med,O,B-med,O,O,O,O,O,B-med,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-med,O,O,O,O,O,O,O,O,O,O,O"
24,The two classes of antiviral drugs used against influenza are neuraminidase inhibitors oseltamivir  zanamivir  laninamivir and peramivir and M  protein inhibitors adamantane derivatives,"O,O,O,O,O,O,O,O,B-diag,O,O,O,B-med,B-med,B-med,O,B-med,O,O,O,O,O,O"
25,Influenza  commonly known as  the flu   is an infectious disease caused by an influenza virus  Symptoms can be mild to severe  The most common symptoms include  high fever  runny nose  sore throat  muscle and joint pain  headache  coughing  and feeling tired  These symptoms typically begin two days after exposure to the virus and most last less than a week  The cough  however  may last for more than two weeks  In children  there may be diarrhea and vomiting  but these are not common in adults  Diarrhea and vomiting occur more commonly in gastroenteritis  which is an unrelated disease and sometimes inaccurately referred to as  stomach flu  or the     hour flu   Complications of influenza may include viral pneumonia  secondary bacterial pneumonia  sinus infections  and worsening of previous health problems such as asthma or heart failure,"B-diag,O,O,O,O,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,I-diag,O,O,B-diag,I-diag,B-diag,B-diag,O,B-diag,I-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-diag,I-diag,O,O,O,O,O,O,O,O,B-diag,O,B-diag,I-diag"
